nohup: ignoring input
 INFO  Accepting connections at http://localhost:3005
 HTTP  2/28/2026 2:48:27 PM 185.27.160.98 GET /admin/users
 HTTP  2/28/2026 2:48:27 PM 185.27.160.98 Returned 200 in 19 ms
 HTTP  2/28/2026 2:48:27 PM 185.27.160.98 GET /static/js/main.c0244287.js
 HTTP  2/28/2026 2:48:27 PM 185.27.160.98 GET /manifest.json
 HTTP  2/28/2026 2:48:27 PM 185.27.160.98 GET /static/css/main.450bdf54.css
 HTTP  2/28/2026 2:48:27 PM 185.27.160.98 Returned 200 in 6 ms
 HTTP  2/28/2026 2:48:27 PM 185.27.160.98 Returned 304 in 5 ms
 HTTP  2/28/2026 2:48:27 PM 185.27.160.98 Returned 304 in 6 ms
 HTTP  2/28/2026 2:48:27 PM 185.27.160.98 GET /static/css/main.450bdf54.css.map
 HTTP  2/28/2026 2:48:27 PM 185.27.160.98 Returned 304 in 2 ms
 HTTP  2/28/2026 2:48:27 PM 185.27.160.98 GET /static/js/main.c0244287.js.map
 HTTP  2/28/2026 2:48:27 PM 185.27.160.98 Returned 200 in 6 ms
 HTTP  2/28/2026 2:48:27 PM 185.27.160.98 GET /favicon.ico
 HTTP  2/28/2026 2:48:27 PM 185.27.160.98 Returned 304 in 11 ms
 HTTP  2/28/2026 2:48:44 PM 94.103.95.105 GET /login
 HTTP  2/28/2026 2:48:44 PM 94.103.95.105 Returned 200 in 1 ms
 HTTP  2/28/2026 2:48:44 PM 94.103.95.105 GET /manifest.json
 HTTP  2/28/2026 2:48:44 PM 94.103.95.105 Returned 200 in 3 ms
 HTTP  2/28/2026 2:48:44 PM 94.103.95.105 GET /static/js/main.c0244287.js
 HTTP  2/28/2026 2:48:44 PM 94.103.95.105 Returned 200 in 1 ms
 HTTP  2/28/2026 2:48:44 PM 94.103.95.105 GET /static/css/main.450bdf54.css
 HTTP  2/28/2026 2:48:44 PM 94.103.95.105 Returned 304 in 1 ms
 HTTP  2/28/2026 2:48:59 PM 94.103.95.105 GET /icon-192x192.png
 HTTP  2/28/2026 2:48:59 PM 94.103.95.105 GET /favicon.ico
 HTTP  2/28/2026 2:48:59 PM 94.103.95.105 Returned 304 in 2 ms
 HTTP  2/28/2026 2:48:59 PM 94.103.95.105 Returned 304 in 5 ms
 HTTP  2/28/2026 2:49:02 PM 94.103.95.105 GET /
 HTTP  2/28/2026 2:49:02 PM 94.103.95.105 Returned 200 in 1 ms
 HTTP  2/28/2026 2:49:03 PM 94.103.95.105 GET /manifest.json
 HTTP  2/28/2026 2:49:03 PM 94.103.95.105 GET /static/js/main.c0244287.js
 HTTP  2/28/2026 2:49:03 PM 94.103.95.105 Returned 200 in 1 ms
 HTTP  2/28/2026 2:49:03 PM 94.103.95.105 Returned 200 in 1 ms
 HTTP  2/28/2026 2:49:03 PM 94.103.95.105 GET /static/css/main.450bdf54.css
 HTTP  2/28/2026 2:49:03 PM 94.103.95.105 Returned 200 in 1 ms
 HTTP  2/28/2026 2:52:21 PM 94.103.95.105 GET /
 HTTP  2/28/2026 2:52:21 PM 94.103.95.105 Returned 304 in 1 ms
 HTTP  2/28/2026 2:52:21 PM 94.103.95.105 GET /manifest.json
 HTTP  2/28/2026 2:52:21 PM 94.103.95.105 GET /static/css/main.450bdf54.css
 HTTP  2/28/2026 2:52:21 PM 94.103.95.105 Returned 304 in 2 ms
 HTTP  2/28/2026 2:52:21 PM 94.103.95.105 Returned 304 in 1 ms
 HTTP  2/28/2026 2:52:21 PM 94.103.95.105 GET /static/js/main.c0244287.js
 HTTP  2/28/2026 2:52:21 PM 94.103.95.105 Returned 304 in 0 ms
 HTTP  2/28/2026 2:52:34 PM 94.103.95.105 GET /
 HTTP  2/28/2026 2:52:34 PM 94.103.95.105 Returned 304 in 0 ms
 HTTP  2/28/2026 2:52:34 PM 94.103.95.105 GET /manifest.json
 HTTP  2/28/2026 2:52:34 PM 94.103.95.105 Returned 304 in 2 ms
 HTTP  2/28/2026 2:52:34 PM 94.103.95.105 GET /static/js/main.c0244287.js
 HTTP  2/28/2026 2:52:34 PM 94.103.95.105 Returned 304 in 2 ms
 HTTP  2/28/2026 2:52:34 PM 94.103.95.105 GET /static/css/main.450bdf54.css
 HTTP  2/28/2026 2:52:34 PM 94.103.95.105 Returned 304 in 0 ms
